split,model,amount,level,metric,value,pvalue
2,SOMOS,10,System,LCC,0.7448507026263544,0.0085372080087696
2,SOMOS,10,System,SRCC,0.5818181818181819,0.0604198962156483
2,SOMOS,10,System,KTAU,0.4181818181818181,0.0865612473945807
2,SOMOS,20,Utterance,MSE,0.3422489670212486,NaN
2,SOMOS,20,System,MSE,0.1720551895897819,NaN
2,SOMOS,20,Utterance,LCC,0.7379262129714314,3.711355169416588e-20
2,SOMOS,20,Utterance,SRCC,0.7551929887217423,1.5605221302287405e-21
2,SOMOS,20,Utterance,KTAU,0.555935614307329,7.508902850404661e-18
2,SOMOS,20,System,LCC,0.8452651606428159,0.0010506558208185
2,SOMOS,20,System,SRCC,0.6636363636363638,0.0259841339187655
2,SOMOS,20,System,KTAU,0.4545454545454545,0.0601701539201539
2,SOMOS,30,Utterance,MSE,0.263308421052219,NaN
2,SOMOS,30,System,MSE,0.1237744027658471,NaN
2,SOMOS,30,Utterance,LCC,0.7947534347064061,3.6380980560149216e-25
2,SOMOS,30,Utterance,SRCC,0.7984545575632214,1.5151931571656334e-25
2,SOMOS,30,Utterance,KTAU,0.6043213670531649,8.28466626209434e-21
2,SOMOS,30,System,LCC,0.8899561720830612,0.0002424311474082
2,SOMOS,30,System,SRCC,0.5727272727272729,0.0655430526010184
2,SOMOS,30,System,KTAU,0.4545454545454545,0.0601701539201539
2,SOMOS,40,Utterance,MSE,0.2912248722822299,NaN
2,SOMOS,40,System,MSE,0.1670119875609442,NaN
2,SOMOS,40,Utterance,LCC,0.7977334796196255,1.7996989049417912e-25
2,SOMOS,40,Utterance,SRCC,0.798693497032646,1.4309935060616628e-25
2,SOMOS,40,Utterance,KTAU,0.5993159443553198,1.7193961764912132e-20
2,SOMOS,40,System,LCC,0.8938612823363004,0.0002072550682193
2,SOMOS,40,System,SRCC,0.6818181818181819,0.020842853610945
2,SOMOS,40,System,KTAU,0.4909090909090909,0.0405323573031906
2,BVCC-SOMOS,0,Utterance,MSE,0.6970785909476863,NaN
2,BVCC-SOMOS,0,System,MSE,0.3147807195559587,NaN
2,BVCC-SOMOS,0,Utterance,LCC,0.1973812481297842,0.0387450918726118
2,BVCC-SOMOS,0,Utterance,SRCC,0.201462039059939,0.0348148934457922
2,BVCC-SOMOS,0,Utterance,KTAU,0.1354801076883406,0.0359519816359812
2,BVCC-SOMOS,0,System,LCC,0.5476747698456039,0.0811581217034583
2,BVCC-SOMOS,0,System,SRCC,0.3454545454545455,0.2980892209030388
2,BVCC-SOMOS,0,System,KTAU,0.2727272727272727,0.2829668209876543
2,BVCC-SOMOS,10,Utterance,MSE,0.5710925066596279,NaN
2,BVCC-SOMOS,10,System,MSE,0.2639074798497822,NaN
2,BVCC-SOMOS,10,Utterance,LCC,0.5691259532982803,8.741078549274192e-11
2,BVCC-SOMOS,10,Utterance,SRCC,0.5571888095306461,2.5827396071309177e-10
2,BVCC-SOMOS,10,Utterance,KTAU,0.3920914446645327,1.2769979830059902e-09
2,BVCC-SOMOS,10,System,LCC,0.7364405251215743,0.0097479226005423
2,BVCC-SOMOS,10,System,SRCC,0.5363636363636364,0.0889534181359627
2,BVCC-SOMOS,10,System,KTAU,0.3818181818181818,0.1209709696168029
2,BVCC-SOMOS,20,Utterance,MSE,0.3465975050686151,NaN
2,BVCC-SOMOS,20,System,MSE,0.1832910031553423,NaN
2,BVCC-SOMOS,20,Utterance,LCC,0.7407368560710227,2.2540312685249232e-20
2,BVCC-SOMOS,20,Utterance,SRCC,0.7310916603529901,1.2156004902537912e-19
2,BVCC-SOMOS,20,Utterance,KTAU,0.5382497874416097,7.878428584213638e-17
2,BVCC-SOMOS,20,System,LCC,0.8567727875536604,0.0007550986658849
2,BVCC-SOMOS,20,System,SRCC,0.5363636363636364,0.0889534181359627
2,BVCC-SOMOS,20,System,KTAU,0.3454545454545454,0.1645733124899791
2,BVCC-SOMOS,30,Utterance,MSE,0.2468496399815066,NaN
2,BVCC-SOMOS,30,System,MSE,0.1025946510024932,NaN
